RA	DEC	MAG
12.81827283	61.80549823	6.13
12.82629635	3.38517465	6.55
12.83285255	-9.40556546	6.99
12.89079551	51.57145327	6.24
12.89515300	12.78482380	6.78
12.96727279	-43.70903814	6.98
13.10213860	-69.50359643	6.84
13.16917061	-24.00592567	5.62
13.21592800	40.24544245	6.89
13.22233391	38.54885598	6.71
13.25204382	-1.14422060	4.89
13.26783051	61.12355735	4.91
13.30164021	-24.77697293	6.55
13.36756319	37.41831737	6.23
13.40407202	29.48942142	6.86
13.40741156	-62.87135327	5.65
13.42197878	-4.52557954	6.70
13.44802920	52.68934453	6.33
13.49601017	-48.79137617	6.98
13.57326200	-8.74054656	6.31
13.64674999	19.18843611	5.80
13.71984836	83.70746159	5.63
13.74174956	23.62844595	5.62
13.74796307	-74.30263442	6.84
13.75080422	58.97279657	4.99
13.75124739	-69.52697888	5.61
13.77176755	48.67854824	6.34
13.79982952	-47.40553270	6.84
13.81107289	24.55709613	6.21
13.92668443	-7.34703997	6.00
13.97062058	-53.19241511	6.78
13.98137347	-27.77582706	6.20
13.99384283	27.20935396	6.13
14.00627513	-11.26650685	5.48
14.03800933	13.95196746	6.62
14.05386154	57.99659583	6.35
14.06166113	35.22864018	6.97
14.12785159	42.97881029	6.69
14.16671042	59.18116582	4.78
14.17708808	60.71674966	2.14
14.18790699	38.49925513	3.90
14.19558745	60.36284769	5.55
14.22912074	68.77574214	6.48
14.30178237	23.41775997	4.56
14.33138601	61.42193312	6.60
14.40729852	-18.99863300	6.96
14.41514948	45.83939494	6.27
14.45895150	28.99223560	5.61
14.45917511	-1.76597097	6.72
14.47714727	13.69587909	6.46
14.54116845	39.47544065	6.71
14.55294302	70.49636927	6.96
14.55914315	33.95105921	6.16
14.57874183	21.40450332	6.49
14.58098414	6.84432756	6.91
14.59240996	-60.69629569	6.27
14.62916229	66.35182541	5.97
14.65144118	-29.35746436	4.26
14.67957818	47.03660631	6.80
14.68286462	-11.37993895	5.78
14.69060186	-5.88261835	6.74
14.88446436	48.96641596	6.99
14.95697840	6.48323806	6.21
15.01477994	44.71330426	5.68
15.11659198	21.24915918	6.98
15.12327762	80.54537407	6.76
15.12861453	70.98300424	6.45
15.16833516	-1.65857625	6.86
15.32593934	-38.91664868	5.75
15.36266775	49.54422654	6.65
15.37565359	69.35852805	6.69
15.39255801	-38.21455968	6.76
15.41083745	-16.26535068	6.63
15.43122439	25.29224974	6.86
15.44081197	57.81670190	6.84
15.50755785	-57.00242929	6.27
15.53174885	56.32870093	6.88
15.57643552	81.87558833	6.91
15.57695351	51.03497045	6.53
15.60990729	-31.55204219	5.54
15.64821189	27.74793166	6.98
15.67751329	9.13301281	6.94
15.67872783	-65.45611076	6.31
15.70452742	31.80433674	5.49
15.70496560	-46.39733801	5.55
15.72408970	51.79810649	6.84
15.72614941	41.34519861	6.00
15.73606615	7.89007256	4.43
15.75613404	47.37619549	6.53
15.76085267	-4.83635047	5.57
15.82401808	-29.52577074	6.44
15.82517242	-60.09725949	6.92
15.90419820	61.07482982	6.03
15.90421340	58.90925342	6.85
15.91411828	84.60692182	6.81
15.95398626	1.36694516	6.13
15.97234676	47.64230158	6.81
16.00995036	52.50230919	6.13
16.06973676	54.20439985	6.95
16.08145357	61.58024409	5.96
16.09960224	-47.94036979	6.93
16.11487415	29.65909865	6.30
16.13586737	-33.53278805	6.61
16.15166564	39.99116315	6.85
16.19493732	51.00979730	6.51
16.20781995	74.37212887	6.84
16.21925150	5.65630133	6.16
16.27229777	14.94600386	5.74
16.40375279	-9.97923948	6.26
16.42053152	21.47321620	5.34
16.42365838	21.46547318	5.52
16.45509251	4.90866194	6.44
16.52127713	-46.71849042	3.46
16.52137513	-9.83936845	5.59
16.53220740	-23.99236906	6.28
16.54664936	32.18154253	6.43
16.59452876	62.76146736	6.59
16.61054202	-35.66062274	6.66
16.61533292	-39.85632513	6.76
16.64007727	12.95597351	6.30
16.72503165	59.85864267	6.88
16.72912007	70.93142932	6.69
16.75030618	56.93523628	6.57
16.78933996	53.49819318	6.44
16.80364889	-23.99625645	6.43
16.80778883	49.55546798	6.80
16.82738598	-61.77526197	5.50
16.94216802	-9.78559168	5.81
16.94927201	-41.48693516	5.26
16.98795829	20.73932115	5.61
16.99825172	1.99409389	6.60
17.00299391	43.94224107	5.08
17.00501793	32.01219214	6.32
17.05383776	54.92422766	5.29
17.06403620	28.86815555	6.95
17.09099608	9.90820086	6.80
17.09309979	5.65022130	5.59
17.09608370	-55.24583235	3.92
17.13936547	58.26347937	5.78
17.14090677	-46.66803915	6.97
17.14693197	-10.18192800	3.62
17.18399735	86.25711803	4.41
17.30122060	80.01167654	6.40
17.37550908	47.24182410	4.24
17.39592874	57.35008196	6.75
17.41310182	23.79428895	6.72
17.43248991	35.62083048	2.17
17.45502008	19.65838540	5.71
17.46768151	54.73887930	6.91
17.53073683	-57.69413983	6.57
17.54762035	15.67397125	6.19
17.54982773	-8.90603998	6.56
17.57852966	42.08157668	5.80
17.58103932	25.45803989	5.93
17.63982219	2.44570842	6.09
17.64295695	51.01328800	7.00
17.66360631	68.77868759	5.32
17.70982927	67.78003781	6.67
17.77471116	55.14994765	4.39
17.77822190	31.42476555	5.22
17.79287081	37.72413814	5.77
17.79409811	46.18391354	6.71
17.85631897	64.20272388	5.55
17.86330901	21.03467568	4.83
17.87069076	10.29192297	6.65
17.91494471	30.08972962	4.68
17.92237013	65.01888517	5.56
17.93142731	-2.25102487	6.07
18.06878934	79.67397492	5.61
18.08000516	12.28194637	6.99
18.09703339	-30.80196356	6.64
18.12811650	2.47183263	6.65
18.14192241	45.33747997	6.21
18.18902960	-37.85640391	6.02
18.19889658	-6.78333777	6.75
18.24774657	30.06430791	6.39
18.29090532	61.70620371	6.39
18.31741714	34.09841522	6.68
18.38656537	29.73631681	6.91
18.43250986	7.57548895	5.28
18.43723014	24.58376482	4.83
18.43822840	7.57837574	6.43
18.50485624	-13.47532545	6.95
18.52027175	28.52970567	6.39
18.53186747	16.13354221	5.94
18.59986241	-7.92350040	5.24
18.67666596	6.99519610	6.21
18.70491873	-0.97429411	5.80
18.79403213	-45.53209717	5.09
18.89843609	0.91244873	6.76
18.93956391	-68.87623708	4.96
19.02097333	25.76936042	6.74
19.04959061	71.74384538	5.97
19.05036531	-42.00966444	6.74
19.05251889	87.14554531	6.36
19.07875996	33.11480731	6.21
19.10202255	48.08225579	6.60
19.11573890	23.58948149	6.71
19.12042232	-67.43109197	7.00
19.12226076	42.93949385	6.72
19.12932621	79.90986944	6.37
19.15144476	-2.50021280	5.58
19.24522939	-2.27881800	6.65
19.26533831	-66.39789075	6.26
19.27105871	44.90209025	6.23
19.31922765	39.48054928	6.71
19.35059759	31.74460911	6.53
19.35953945	57.63207880	6.88
19.39579095	-65.21178029	6.96
19.42404629	44.63191550	6.90
19.42647013	-7.65955931	6.88
19.43855172	56.63163455	6.84
19.44993370	3.61452038	5.17
19.54225774	47.41971636	6.44
19.55788373	57.80316871	6.30
19.57780185	67.81643881	6.69
19.68400376	-43.33292904	6.90
19.69589864	37.38630238	6.51
19.86657455	27.26408682	4.77
19.87232349	80.89419624	6.72
19.95121720	-0.50899490	6.01
19.99052523	-15.81408369	6.82
20.01238711	-9.88360181	6.75
20.02049027	58.23161610	5.11
20.08104611	77.57046497	6.47
20.11599020	-11.23881490	6.32
20.14405465	-3.24700031	6.42
20.27160602	64.65818814	6.37
20.28064145	28.73838983	5.38
20.32292445	-6.15943607	6.95
20.32663354	-49.74163818	6.85
20.33010492	11.53674564	6.98
20.35244159	-50.93692359	6.77
20.46642194	50.12198828	6.71
20.49558059	76.23888764	6.45
20.53848700	-37.05156189	6.78
20.55243914	43.58413462	6.65
20.58497087	45.52875660	5.04
20.62715374	-19.08104977	6.46
20.64506808	-0.44964397	6.67
20.65381169	1.72644123	6.33
20.67922797	-36.59646586	6.87
20.72323497	11.36661822	6.93
20.82145290	-33.54801250	6.92
20.82529370	36.51467328	6.82
20.83863463	58.14321418	6.46
20.85396862	20.46898990	6.08
20.87903356	-30.94550599	5.92
20.89560160	-24.35277479	6.72
20.90546597	34.24560145	6.43
20.91898254	37.71499034	5.67
20.94506566	78.72604828	6.16
20.96176069	17.81844369	6.68
21.00604671	-8.18275372	3.78
21.01013866	-8.00725234	6.28
21.05079037	-31.81177683	6.98
21.07781821	43.14211894	6.70
21.08535375	-6.91466853	6.01
21.16631123	-15.66041899	6.34
21.16775112	-34.14005696	6.86
21.16988858	-41.49245885	5.58
21.17467728	-44.52852794	6.43
21.20281063	-2.84852187	6.33
21.25240598	-5.94640949	6.83
21.27198122	-64.36943630	6.03
21.39856813	23.51157323	6.29
21.40503869	-14.59875437	5.06
21.44292737	70.97992123	6.35
21.45251267	60.23540347	2.71
21.46803699	-3.92732676	6.65
21.47986778	-8.50433653	6.74
21.48293404	68.12994739	4.89
21.53590855	34.57990693	6.45
21.56366085	19.17232096	5.44
21.57749566	43.45788606	6.09
21.59817582	20.07090163	6.60
21.61382606	-0.39898610	6.59
21.67352916	19.24056476	5.67
21.67921463	43.69197059	6.99
21.68242416	27.24670400	6.92
21.71481835	-13.05653391	5.59
21.72311866	3.53568617	6.58
21.74179007	-41.74736876	6.82
21.74208376	-32.54310029	6.41
21.77026692	-30.23582084	6.87
21.77589490	34.37757818	6.37
21.84712814	-22.33802701	6.59
21.85479335	-20.35186146	7.00
21.86110539	41.10109784	6.49
21.91285470	45.40695287	4.92
21.92805944	31.96676096	6.95
21.94348544	-10.90162048	6.28
21.94535203	40.33582488	6.59
21.99767169	-22.03694621	6.73
22.05156434	44.04926440	6.63
22.06699313	-12.24598966	6.99
22.09142360	-43.31772906	3.53
22.09520584	7.96137392	6.39
22.10121023	17.07934224	6.71
22.14299164	42.26792878	6.77
22.18131331	-33.76389007	6.67
22.23930331	-17.93734287	6.76
22.26296987	7.29422704	6.63
22.34788618	25.27534104	6.82
22.37723818	-46.75646248	6.28
22.40041765	-21.62934677	5.13
22.42153264	22.82623228	6.81
22.42829333	-25.61778011	6.55
22.44463773	65.17106561	6.86
22.47011303	18.35567537	6.07
22.47358565	-5.59586087	6.78
22.52542506	47.00737711	5.43
22.54559597	6.14393314	4.98
22.59531980	-26.20785462	6.08
22.71671740	66.09811465	6.18
22.74568301	49.34335825	6.98
22.80632718	70.26478860	5.93
22.81242306	-49.07307701	4.10
22.87080776	15.34583101	3.79
22.87431200	-29.98504754	6.77
22.89154036	-19.02289579	6.92
22.91256447	-45.57572379	6.19
22.93021487	-30.28292502	5.96
23.01271973	16.94770727	6.94
23.03159840	34.79997529	6.35
23.10112547	68.40906428	6.98
23.13554151	70.01945109	6.97
23.15163543	-49.72753415	6.37
23.19879964	35.84280230	6.77
23.23355059	-36.86518161	5.65
23.26463144	-9.01467905	6.60
23.32611246	8.20881472	6.48
23.35711597	58.32734523	5.82
23.41359158	-78.50448590	6.27
23.42805448	-7.02514279	5.89
23.45214999	89.01571833	6.50
23.47634787	35.60821238	6.97
23.48302496	59.23209665	4.85
23.49937640	-62.47621309	6.98
23.56915511	37.23719753	5.89
23.59759031	-28.23663362	6.96
23.64116285	68.94785738	6.65
23.65717247	-15.67635270	5.65
23.70417590	20.17283590	6.81
23.70436400	18.46067238	5.99
23.71180174	-31.89221429	6.28
23.71379541	-3.52380859	6.59
23.71481184	-23.69971287	6.56
23.74216541	33.11818983	6.88
23.81128987	-58.13939438	6.12
23.85059780	53.34557619	6.86
23.85122527	63.08197758	6.86
23.88898226	72.44202117	6.98
23.94350195	14.66144102	6.22
23.96030532	33.83565416	6.69
23.96083226	-39.94700724	6.53
23.96859930	41.07641867	6.55
23.97777176	17.43378965	6.02
23.99565496	-15.40021584	5.58
24.01191556	7.64525355	6.88
24.03512124	-29.90743360	5.77
24.11339268	48.72282149	6.36
24.18134717	7.83150675	6.45
24.18654178	-58.27096790	6.23
24.19990413	41.40638491	4.21
24.27483902	12.14151058	5.63
24.34243051	74.30096200	6.59
24.36574940	-84.76965017	5.83
24.40648858	-9.40405165	6.35
24.42002999	12.07836601	6.90
24.42813204	-57.23666007	0.42
24.43484502	48.41273309	6.90
24.44666689	64.73935565	6.64
24.46688941	-3.44065222	6.55
24.47908355	-82.97528876	6.01
24.49792651	48.62848641	3.75
24.53151544	57.97764488	5.72
24.55269150	62.35178209	6.72
24.61455891	-36.52795330	6.10
24.62823045	-42.92785484	6.75
24.62892127	73.04007203	5.45
24.63265671	45.39970504	6.38
24.65520332	21.39823153	6.81
24.70830289	-25.02221382	6.67
24.71544923	-21.27547447	5.66
24.81338797	16.62553931	6.89
24.81411531	14.28562593	6.91
24.83757938	44.38612827	5.16
24.83973192	-33.56477443	6.71
24.89931748	45.87832743	6.74
24.91986640	16.40588595	6.15
24.94684603	-56.19644067	5.90
25.01823471	40.68382175	6.84
25.05465447	53.86828894	6.46
25.12903781	59.05286960	6.96
25.14501739	40.57710624	4.94
25.14535993	8.76076486	6.43
25.16483499	43.29776385	5.70
25.19315221	-2.62177612	6.90
25.22100356	77.96901023	6.73
25.32624343	25.74581125	6.30
25.33868782	-79.14825374	6.49
25.35794814	5.48760445	4.59
25.36368452	-38.13296410	6.29
25.41350900	30.04713542	6.13
25.42173306	-50.03860018	6.68
25.43665870	-11.32366816	5.85
25.44381547	42.61380692	5.08
25.44980076	-60.78924102	5.86
25.51208457	61.03825058	6.69
25.51256331	-36.83226421	5.71
25.51439571	35.24576705	5.62
25.53602338	-32.32685759	5.42
25.57369215	58.62775870	6.35
25.58518510	68.04304624	5.56
25.62146258	-53.74057470	5.64
25.62479083	20.27015091	5.39
25.65452871	40.37736879	6.86
25.68132047	-3.69011692	5.17
25.73220374	70.62255881	5.18
25.74298829	61.42109575	6.34
25.79628206	48.51677663	6.82
25.81828533	45.32263641	6.50
25.83223958	60.55137091	5.78
25.83906703	59.63288280	6.74
25.90092910	51.51582552	6.77
25.91155778	52.88578953	6.86
25.91506370	50.68876550	3.98
