RA	DEC	MAG	DIST	B-V
13.80046465	0.93295838	10.74	43.46	1.150
13.85453209	-51.83348668	12.43	25.28	1.470
13.95413097	-29.67637996	9.58	30.52	1.163
13.98567842	-47.14959737	11.15	39.81	1.300
14.07155640	52.49123259	7.66	41.00	0.667
14.08013332	-65.44535008	10.22	48.97	0.942
14.08678605	-63.95878686	7.32	44.76	0.808
14.18790699	38.49925513	3.90	41.79	0.130
14.21060461	-11.58825278	11.21	23.96	1.430
14.23075943	-51.87554417	9.13	43.57	1.020
14.26352093	69.04402238	9.25	24.13	1.025
14.31738750	-51.58429906	10.86	29.07	1.300
14.32691388	-62.24590709	9.60	19.36	1.299
14.33485355	-1.81556423	9.60	47.89	0.854
14.35974775	-39.85850948	10.14	46.97	0.987
14.61282693	-27.85630511	11.81	13.10	1.558
14.81053373	83.10292417	7.99	46.77	0.557
14.90286230	-13.97896439	10.69	47.96	1.086
15.07590349	-25.61460962	10.08	32.91	1.107
15.09416133	-13.59920106	10.19	41.74	1.047
15.17286847	14.84068069	9.71	48.69	0.877
15.25731681	-4.64826368	7.46	40.39	0.547
15.32893461	-60.86038649	7.05	44.98	0.650
15.48814996	-9.88437211	10.59	31.19	1.226
15.58799588	-10.42342915	10.11	21.64	1.365
15.60155392	5.06090960	8.29	21.45	1.008
15.61490694	-21.61050013	8.05	31.90	0.799
15.62080367	71.68074123	10.02	8.15	1.501
15.64821189	27.74793166	6.98	44.66	0.448
15.65812055	62.34482783	9.61	10.06	1.463
15.66501836	-25.30834160	9.96	45.37	0.919
15.68345889	-47.28725845	7.83	49.14	0.591
15.71822517	47.04761136	11.00	41.43	1.470
15.73689231	69.22742039	7.81	25.82	0.756
15.80724267	20.09773584	11.39	16.33	1.590
15.91466099	82.10089846	8.56	44.33	0.600
15.91679114	40.85852326	11.02	31.29	1.137
16.10072304	-25.60422804	9.90	25.65	1.194
16.11080178	-2.36626356	9.29	39.25	0.801
16.11487415	29.65909865	6.30	41.98	0.443
16.13435587	26.12014117	10.14	29.08	1.280
16.16782838	-39.48693482	7.85	40.32	0.613
16.37462337	15.39053992	8.78	26.60	1.197
16.38418086	-66.74306038	10.21	43.90	0.964
16.45509251	4.90866194	6.44	45.72	0.383
